country,site_code,site_type,data_collection_date,Year,sampling_loc_name,transect_id,inside_or_outside_NTZ,Latitud_decimal_degree,Longitud_decimal_degree,Reef_zone,Water_depth_m,species_scientific_name,Family_name,trophic_group,length_cm,n_individuals,transect_area_sq_m,count_ha,weight_kg,biomass_kg_ha,indicator_species,repeat_sampling_loc,Year_number,notes,information_source
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,3,Inside,-0.41,131.01,,,Caesio cuning,CAESIONIDAE,,20,20,250,800,0.161139367,128.9114936,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,3,Inside,-0.41,131.01,,,Lutjanus biguttatus,LUTJANIDAE,,10,10,250,400,0.013799643,5.519857147,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,3,Inside,-0.41,131.01,,,Scarus spp.,SCARIDAE,Herbivore,15,8,250,320,0.057319557,18.34225839,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,3,Inside,-0.41,131.01,,,Acanthurus spp.,ACANTHURIDAE,Herbivore,10,6,250,240,0.021261504,5.10276092,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,3,Inside,-0.41,131.01,,,Scarus spp.,SCARIDAE,Herbivore,30,6,250,240,0.483165031,115.9596074,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,3,Inside,-0.41,131.01,,,Acanthurus spp.,ACANTHURIDAE,Herbivore,15,4,250,160,0.071009872,11.36157958,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,3,Inside,-0.41,131.01,,,Variola louti,SERRANIDAE,,40,1,1000,10,0.758818669,7.588186693,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,3,Inside,-0.41,131.01,,,Variola louti,SERRANIDAE,,35,1,1000,10,0.505641241,5.05641241,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,4,Inside,-0.41,131.01,,,Lutjanus biguttatus,LUTJANIDAE,,15,100,250,4000,0.046197641,184.7905638,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,4,Inside,-0.41,131.01,,,Caesio cuning,CAESIONIDAE,,15,50,250,2000,0.066433991,132.8679823,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,4,Inside,-0.41,131.01,,,Caesio spp.,CAESIONIDAE,,10,50,250,2000,0.017570699,35.14139717,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,4,Inside,-0.41,131.01,,,Caesio spp.,CAESIONIDAE,,7,50,250,2000,0.005836359,11.67271731,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,4,Inside,-0.41,131.01,,,Pterocaesio tile,CAESIONIDAE,,10,15,250,600,0.017783848,10.67030861,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,4,Inside,-0.41,131.01,,,Acanthurus spp.,ACANTHURIDAE,Herbivore,15,4,250,160,0.071009872,11.36157958,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,4,Inside,-0.41,131.01,,,Acanthurus spp.,ACANTHURIDAE,Herbivore,20,2,250,80,0.167073418,13.36587345,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,4,Inside,-0.41,131.01,,,Scarus spp.,SCARIDAE,Herbivore,20,2,250,80,0.138848599,11.10788791,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,4,Inside,-0.41,131.01,,,Scarus ghobban,SCARIDAE,Herbivore,20,2,250,80,0.130316388,10.42531104,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,4,Inside,-0.41,131.01,,,Macolor macularis,LUTJANIDAE,,25,1,250,40,0.230108508,9.204340301,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Caesio cuning,CAESIONIDAE,,15,100,250,4000,0.066433991,265.7359647,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Caesio spp.,CAESIONIDAE,,7,100,250,4000,0.005836359,23.34543463,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Caesio cuning,CAESIONIDAE,,20,50,250,2000,0.161139367,322.2787339,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Pterocaesio tile,CAESIONIDAE,,15,50,250,2000,0.063784212,127.5684245,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Lutjanus biguttatus,LUTJANIDAE,,10,20,250,800,0.013799643,11.03971429,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Macolor macularis,LUTJANIDAE,,30,15,250,600,0.395458556,237.2751337,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Lutjanus gibbus,LUTJANIDAE,,15,10,250,400,0.048403618,19.3614473,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Scarus spp.,SCARIDAE,Herbivore,15,10,250,400,0.057319557,22.92782298,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Scarus spp.,SCARIDAE,Herbivore,20,8,250,320,0.138848599,44.43155164,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Acanthurus spp.,ACANTHURIDAE,Herbivore,20,6,250,240,0.167073418,40.09762036,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Siganus javus,SIGANIDAE,Herbivore,15,6,250,240,0.064659067,15.51817602,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Macolor macularis,LUTJANIDAE,,20,5,250,200,0.118606895,23.72137902,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Acanthurus spp.,ACANTHURIDAE,Herbivore,15,4,250,160,0.071009872,11.36157958,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Siganus spp.,SIGANIDAE,Herbivore,20,4,250,160,0.144641436,23.14262972,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Macolor macularis,LUTJANIDAE,,48,10,1000,100,1.597119179,159.7119179,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Acanthurus spp.,ACANTHURIDAE,Herbivore,10,2,250,80,0.021261504,1.700920307,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Scarus spp.,SCARIDAE,Herbivore,40,4,1000,40,1.170399608,46.81598431,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Lethrinus spp.,LETHRINIDAE,,18,1,250,40,0.088036062,3.521442498,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Epinephelus spp.,SERRANIDAE,,25,1,250,40,0.21573908,8.629563215,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Plectorhinchus lessonii,HAEMULIDAE,,38,1,1000,10,0.925111452,9.251114524,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Cheilinus undulatus,LABRIDAE,,90,1,1000,10,10.07054444,100.7054444,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Lutjanus bohar,LUTJANIDAE,,42,1,1000,10,0.93276792,9.3276792,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Lutjanus gibbus,LUTJANIDAE,,40,1,1000,10,0.900045882,9.000458822,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Chlorurus microrhinos,SCARIDAE,Herbivore,55,1,1000,10,3.114634122,31.14634122,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2012,2012,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Variola albimarginata,SERRANIDAE,,45,1,1000,10,1.604628003,16.04628003,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,1,Inside,-0.41,131.01,,,Caesio teres,CAESIONIDAE,,10,25,250,1000,0.016979147,16.97914679,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,1,Inside,-0.41,131.01,,,Scarus spp.,SCARIDAE,Herbivore,15,4,250,160,0.057319557,9.171129194,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,1,Inside,-0.41,131.01,,,Acanthurus spp.,ACANTHURIDAE,Herbivore,10,2,250,80,0.021261504,1.700920307,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,1,Inside,-0.41,131.01,,,Lutjanus gibbus,LUTJANIDAE,,20,2,250,80,0.114076257,9.126100545,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,1,Inside,-0.41,131.01,,,Scarus ghobban,SCARIDAE,Herbivore,20,2,250,80,0.130316388,10.42531104,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,1,Inside,-0.41,131.01,,,Siganus spp.,SIGANIDAE,Herbivore,10,2,250,80,0.017555329,1.404426286,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,1,Inside,-0.41,131.01,,,Aethaloperca rogaa,SERRANIDAE,,30,1,250,40,0.8073,32.292,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,2,Inside,-0.41,131.01,,,Pterocaesio tile,CAESIONIDAE,,10,100,250,4000,0.017783848,71.13539075,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,2,Inside,-0.41,131.01,,,Caesio teres,CAESIONIDAE,,15,50,250,2000,0.060161768,120.3235362,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,2,Inside,-0.41,131.01,,,Caesio teres,CAESIONIDAE,,10,25,250,1000,0.016979147,16.97914679,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,2,Inside,-0.41,131.01,,,Naso spp.,ACANTHURIDAE,Herbivore,20,20,250,800,0.173308113,138.6464908,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,2,Inside,-0.41,131.01,,,Scarus spp.,SCARIDAE,Herbivore,25,6,250,240,0.275791052,66.18985239,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,2,Inside,-0.41,131.01,,,Acanthurus spp.,ACANTHURIDAE,Herbivore,30,5,250,200,0.557997317,111.5994635,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,2,Inside,-0.41,131.01,,,Lutjanus bohar,LUTJANIDAE,,20,1,250,40,0.10072,4.0288,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,2,Inside,-0.41,131.01,,,Aethaloperca rogaa,SERRANIDAE,,20,1,250,40,0.2392,9.568,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,2,Inside,-0.41,131.01,,,Variola louti,SERRANIDAE,,40,1,1000,10,0.758818669,7.588186693,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,3,Inside,-0.41,131.01,,,Caesio teres,CAESIONIDAE,,15,100,250,4000,0.060161768,240.6470724,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,3,Inside,-0.41,131.01,,,Pterocaesio tile,CAESIONIDAE,,10,100,250,4000,0.017783848,71.13539075,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,3,Inside,-0.41,131.01,,,Caesio lunaris,CAESIONIDAE,,20,20,250,800,0.179184762,143.3478097,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,3,Inside,-0.41,131.01,,,Acanthurus spp.,ACANTHURIDAE,Herbivore,20,10,250,400,0.167073418,66.82936726,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,3,Inside,-0.41,131.01,,,Siganus spp.,SIGANIDAE,Herbivore,10,2,250,80,0.017555329,1.404426286,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,3,Inside,-0.41,131.01,,,Lutjanus bohar,LUTJANIDAE,,15,1,250,40,0.04249125,1.69965,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,4,Inside,-0.41,131.01,,,Pterocaesio tile,CAESIONIDAE,,10,50,250,2000,0.017783848,35.56769537,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,4,Inside,-0.41,131.01,,,Acanthurus spp.,ACANTHURIDAE,Herbivore,20,5,250,200,0.167073418,33.41468363,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,4,Inside,-0.41,131.01,,,Variola louti,SERRANIDAE,,30,1,250,40,0.316463953,12.6585581,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,4,Inside,-0.41,131.01,,,Cephalopholis sexmaculata,SERRANIDAE,,15,1,250,40,0.066168458,2.646738328,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,4,Inside,-0.41,131.01,,,Cephalopholis miniata,SERRANIDAE,,15,1,250,40,0.045208687,1.808347485,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,4,Inside,-0.41,131.01,,,Variola louti,SERRANIDAE,,45,1,1000,10,1.085529613,10.85529613,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,4,Inside,-0.41,131.01,,,Variola louti,SERRANIDAE,,40,1,1000,10,0.758818669,7.588186693,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,4,Inside,-0.41,131.01,,,Variola louti,SERRANIDAE,,35,1,1000,10,0.505641241,5.05641241,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Pterocaesio tile,CAESIONIDAE,,10,200,250,8000,0.017783848,142.2707815,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Caesio teres,CAESIONIDAE,,15,25,250,1000,0.060161768,60.1617681,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Carangoides bajad,CARANGIDAE,,30,11,250,440,0.247228499,108.7805394,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Macolor niger,LUTJANIDAE,,20,5,250,200,0.134936506,26.98730112,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Siganus javus,SIGANIDAE,Herbivore,15,5,250,200,0.064659067,12.93181335,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Lutjanus bohar,LUTJANIDAE,,15,1,250,40,0.04249125,1.69965,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Aethaloperca rogaa,SERRANIDAE,,20,1,250,40,0.2392,9.568,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Variola louti,SERRANIDAE,,25,1,250,40,0.181808113,7.272324534,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2014,2014,Barrier in front of Mumes,5,Inside,-0.41,131.01,,,Anyperodon leucogrammicus,SERRANIDAE,,15,1,250,40,0.032186746,1.287469842,TARGET,NO,5,,
Indonesia,MAYALIB,prototype,2016,2016,Barrier in front of Yensner Village,1,Inside,-0.4,131.07,,,Pterocaesio marri,CAESIONIDAE,,10,200,250,8000,0.014131712,113.0536979,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Barrier in front of Yensner Village,1,Inside,-0.4,131.07,,,Caesio cuning,CAESIONIDAE,,20,40,250,1600,0.161139367,257.8229872,TARGET,YES,5,,
