country,site_number,site_code,site_type,data_collection_date,Day,Month,Year,pre_post_campaign,sampling_loc,sampling_loc_name,transect_id,inside_or_outside_NTZ,Latitud_decimal_degree,Longitud_decimal_degree,Reef_zone,Water_depth_m,percent_live_coral_cover,percent_soft_coral_cover,percent_algae_cover,percent_other_biota_cover,percent_available_substrate_cover,percent_mobile_substrate_cover,percent_BLK,information_source
Philippines,Phi_24,INABANG,Prototype,1/1/14,1,1,2014,pre,,Hambongan Marine Protected Area,BICU1F1214,outside,10.08686,123.9933,,,11,0,72,5,0,13,0,
Philippines,Phi_24,INABANG,Prototype,1/1/16,1,1,2016,pre,,Hambongan Marine Protected Area,BICU1R0616,outside,10.08686,123.9933,,,13,0,50,5,0,29,3,
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BICU1R0813,outside,10.08686,123.9933,,,32,0,49,2,0,18,0,
Philippines,Phi_24,INABANG,Prototype,1/1/14,1,1,2014,pre,,Hambongan Marine Protected Area,BICU1R1214,outside,10.08686,123.9933,,,14,0,67,5,0,15,0,
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BICU2F0813,outside,10.10228,123.98386,,,25,0,51,1,0,22,0,
Philippines,Phi_24,INABANG,Prototype,1/1/16,1,1,2016,pre,,Hambongan Marine Protected Area,BICU2R0616,outside,10.09031,124.00042,,,25,0,37,5,0,32,2,
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BICU2R0813,outside,10.09031,124.00042,,,32,0,53,1,2,11,0,
Philippines,Phi_24,INABANG,Prototype,1/1/14,1,1,2014,pre,,Hambongan Marine Protected Area,BICU2R1214,outside,10.09031,124.00042,,,26,0,41,1,0,32,0,
Philippines,Phi_24,INABANG,Prototype,1/1/16,1,1,2016,pre,,Hambongan Marine Protected Area,BICU3F0616,outside,10.09348,124.0492,,,35,0,31,5,0,26,3,
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BICU3F0813,inside,10.09348,124.0492,,,56,1,28,1,0,15,0,
Philippines,Phi_24,INABANG,Prototype,1/1/14,1,1,2014,pre,,Hambongan Marine Protected Area,BICU3F1214,outside,10.09348,124.0492,,,32,0,42,2,0,24,0,
Philippines,Phi_24,INABANG,Prototype,1/1/16,1,1,2016,pre,,Hambongan Marine Protected Area,BICU3R0616,outside,10.09348,124.0492,,,32,1,34,2,0,27,4,
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BICU3R0813,inside,10.09348,124.0492,,,32,0,37,1,1,29,0,
Philippines,Phi_24,INABANG,Prototype,1/1/14,1,1,2014,pre,,Hambongan Marine Protected Area,BICU3R1214,outside,10.09348,124.0492,,,34,1,44,1,0,20,0,
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BICU4F0813,inside,10.10559,123.98932,,,52,0,25,1,0,22,0,
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BICU4R0813,inside,10.10559,123.98932,,,40,0,31,1,1,27,0,
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BICU5R0813,inside,10.10775,123.19312,,,35,0,24,2,0,38,0,
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BICU6F0813,outside,10.10896,123.99478,,,49,0,23,1,0,27,0,
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BICU6R0813,outside,10.11129,123.99614,,,62,0,28,1,0,10,0,
Philippines,Phi_24,INABANG,Prototype,1/1/12,1,1,2012,pre,,Hambongan Marine Protected Area,BIHM1F0412,inside,10.05741,124.01515,,,49,0,35,0,0,15,0,
Philippines,Phi_24,INABANG,Prototype,1/1/11,1,1,2011,pre,,Hambongan Marine Protected Area,BIHM1F0511,inside,10.05741,124.01515,,,62,0,13,3,0,23,0,
Philippines,Phi_24,INABANG,Prototype,1/1/16,1,1,2016,pre,,Hambongan Marine Protected Area,BIHM1F0616,inside,10.05741,124.01515,,,13,0,19,0,0,63,5,
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BIHM1F0813,inside,10.05741,124.01515,,,67,0,16,0,0,17,0,
Philippines,Phi_24,INABANG,Prototype,1/1/14,1,1,2014,pre,,Hambongan Marine Protected Area,BIHM1F1214,inside,10.05741,124.01515,,,15,0,19,0,0,66,0,
Philippines,Phi_24,INABANG,Prototype,1/1/12,1,1,2012,pre,,Hambongan Marine Protected Area,BIHM1R0412,inside,10.05741,124.01515,,,66,0,25,0,0,9,0,
Philippines,Phi_24,INABANG,Prototype,1/1/11,1,1,2011,pre,,Hambongan Marine Protected Area,BIHM1R0511,inside,10.05741,124.01515,,,58,0,24,1,0,16,0,
Philippines,Phi_24,INABANG,Prototype,1/1/16,1,1,2016,pre,,Hambongan Marine Protected Area,BIHM1R0616,inside,10.05741,124.01515,,,15,0,21,1,0,63,0,
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BIHM1R0813,inside,10.05741,124.01515,,,34,0,17,1,2,45,0,
Philippines,Phi_24,INABANG,Prototype,1/1/14,1,1,2014,pre,,Hambongan Marine Protected Area,BIHM1R1214,inside,10.05741,124.01515,,,7,0,21,0,3,69,0,
Philippines,Phi_24,INABANG,Prototype,1/1/12,1,1,2012,pre,,Hambongan Marine Protected Area,BIHM2F0412,inside,10.05781,124.01245,,,61,0,16,0,0,23,0,
Philippines,Phi_24,INABANG,Prototype,1/1/11,1,1,2011,pre,,Hambongan Marine Protected Area,BIHM2F0511,inside,10.05781,124.01245,,,22,0,21,1,0,56,0,
Philippines,Phi_24,INABANG,Prototype,1/1/16,1,1,2016,pre,,Hambongan Marine Protected Area,BIHM2F0616,inside,10.05781,124.01245,,,79,0,16,1,0,4,0,
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BIHM2F0813,inside,10.05781,124.01245,,,34,0,17,1,0,48,0,
Philippines,Phi_24,INABANG,Prototype,1/1/14,1,1,2014,pre,,Hambongan Marine Protected Area,BIHM2F1214,inside,10.05781,124.01245,,,68,0,22,1,0,10,0,
Philippines,Phi_24,INABANG,Prototype,1/1/12,1,1,2012,pre,,Hambongan Marine Protected Area,BIHM2R0412,inside,10.05781,124.01245,,,46,2,19,1,0,32,0,
Philippines,Phi_24,INABANG,Prototype,1/1/11,1,1,2011,pre,,Hambongan Marine Protected Area,BIHM2R0511,inside,10.05781,124.01245,,,20,0,23,2,0,55,0,
Philippines,Phi_24,INABANG,Prototype,1/1/16,1,1,2016,pre,,Hambongan Marine Protected Area,BIHM2R0616,inside,10.05781,124.01245,,,66,0,20,1,0,14,0,
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BIHM2R0813,inside,10.05781,124.01245,,,23,0,14,1,2,60,0,
Philippines,Phi_24,INABANG,Prototype,1/1/14,1,1,2014,pre,,Hambongan Marine Protected Area,BIHM2R1214,inside,10.05781,124.01245,,,25,1,32,1,0,41,0,
Philippines,Phi_24,INABANG,Prototype,1/1/12,1,1,2012,pre,,Hambongan Marine Protected Area,BIHM3R0412,inside,10.05819,124.01457,,,41,0,21,0,0,38,0,
Philippines,Phi_24,INABANG,Prototype,1/1/11,1,1,2011,pre,,Hambongan Marine Protected Area,BIHM3R0511,inside,10.05819,124.01457,,,20,1,27,0,0,52,0,
Philippines,Phi_24,INABANG,Prototype,1/1/16,1,1,2016,pre,,Hambongan Marine Protected Area,BIHM3R0616,inside,10.05819,124.01457,,,26,1,20,2,0,47,3,
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BIHM3R0813,inside,10.05819,124.01457,,,12,0,16,5,0,66,0,
Philippines,Phi_24,INABANG,Prototype,1/1/14,1,1,2014,pre,,Hambongan Marine Protected Area,BIHM3R1214,inside,10.05819,124.01457,,,27,0,26,3,0,44,0,
Philippines,Phi_24,INABANG,Prototype,1/1/12,1,1,2012,pre,,Hambongan Marine Protected Area,BIHM4F0412,outside,10.06948,124.01902,,,84,0,13,0,0,4,0,
Philippines,Phi_24,INABANG,Prototype,1/1/11,1,1,2011,pre,,Hambongan Marine Protected Area,BIHM4F0511,outside,10.06948,124.01902,,,63,0,14,0,1,20,0,
Philippines,Phi_24,INABANG,Prototype,1/1/16,1,1,2016,pre,,Hambongan Marine Protected Area,BIHM4F0616,TURF,10.06948,124.01902,,,50,0,29,10,0,8,3,
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BIHM4F0813,outside,10.06948,124.01902,,,94,0,6,0,0,0,0,
Philippines,Phi_24,INABANG,Prototype,1/1/14,1,1,2014,pre,,Hambongan Marine Protected Area,BIHM4F1214,TURF,10.06948,124.01902,,,52,0,28,3,5,12,0,
