"Country","Name","Latitude","Longitude","Reef type","Reef zone","Reef exposure","Notes"
"Honduras","RFCA1","16.34849","-86.45486","barrier","bank","semi-exposed",""
"Honduras","RFIA1","16.35169","-86.44899","barrier","fore reef","very sheltered",""
"Honduras","RFIA2","16.351398","-86.445824","barrier","bank","very sheltered",""
"Honduras","RMCA1","16.35359","-86.53913","barrier","channel","semi-exposed","Located near dive buoys on the area."
"Honduras","RMIA1","16.36859","-86.50607","barrier","crest","semi-exposed",""
"Honduras","RMIA2","16.366120084032815","-86.5093618631892","barrier","crest","very sheltered",""
