"Country","Name","Latitude","Longitude","Reef type","Reef zone","Reef exposure","Notes"
"Honduras","GLIA2","16.4162","-85.8984","barrier","fore reef","exposed",""
"Honduras","GLIA3","16.4248","-85.9044","patch","back reef","exposed",""
"Honduras","GMCA1","16.52","-85.85","barrier","fore reef","exposed",""
"Honduras","GMCA2","16.4702","-85.9202","patch","crest","exposed",""
"Honduras","GMIA1","16.50798","-85.888898","barrier","crest","exposed",""
"Honduras","GMIA2","16.486","-85.91656","barrier","back reef","exposed",""
"Honduras","GMIA3","16.4969","-85.9032","barrier","back reef","exposed",""
