"Country","Name","Latitude","Longitude","Reef type","Reef zone","Reef exposure","Notes"
"Honduras","UOCA1","16.0604","-86.965","barrier","back reef","semi-exposed","Five fish transects of 50m each were done."
"Honduras","UOIA2","16.0742","-86.9845","barrier","back reef","sheltered","5 transects made"
"Honduras","UWIA2","16.0784","-87.0105","barrier","back reef","semi-exposed","5 transects made"
