"Country","Name","Latitude","Longitude","Reef type","Reef zone","Reef exposure","Notes"
"Honduras","1MBPC","15.9097","-87.9302","patch","fore reef","exposed",""
"Honduras","2MBPC","15.8872","-87.9368","patch","fore reef","exposed",""
"Honduras","3MBPC","15.8733","-87.9938","patch","fore reef","exposed",""
"Honduras","4MBPC","15.8601","-88.0123","patch","fore reef","exposed",""
"Honduras","5MBPC","15.8388","-88.02","patch","fore reef","exposed",""
"Honduras","6MBPC","15.8425","-88.0025","patch","fore reef","exposed",""
"Honduras","7MBPC","15.825","-88.0234","patch","fore reef","exposed",""
"Honduras","8MBPC","15.8079","-87.9886","patch","fore reef","exposed",""
