"Country","Name","Latitude","Longitude","Reef type","Reef zone","Reef exposure","Notes"
"Honduras","Cayo Blanco","15.928","-86.037","patch","crest","sheltered",""
"Honduras","MSF1","15.90337651","-86.19829663","patch","fore reef","exposed","This is Bajo Seco site, dive 1.  (Inside reserve)"
"Honduras","MSF2","15.89473318","-86.14831076","patch","bank","sheltered","Site 2, only 2 transect, small reef patch (Control site)"
